着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,後3F,コーナー通過順,厩舎,馬体重(増減),date,race_type,course_ren,weather,ground_state,horse_id,jockey_id
202101010101,1,5,9,ディーバサンライズ,牝3,52.0,△秋山稔,1:08.7,,7.0,13.5,34.6,4-4,栗東小林,474(-22),2021年6月12日,芝,1200,小雨,良,2018105875,01181
202101010101,2,3,6,バンベルク,牡3,56.0,横山和,1:08.8,3/4,2.0,3.9,35.0,1-1,栗東安田隆,470(-2),2021年6月12日,芝,1200,小雨,良,2018105258,01140
202101010101,3,7,14,リツィタル,牝3,54.0,大野,1:08.9,1/2,14.0,124.7,34.0,11-10,栗東牧田,394(+2),2021年6月12日,芝,1200,小雨,良,2018101134,01096
202101010101,4,5,10,クレマチステソーロ,牝3,54.0,鮫島駿,1:09.0,1/2,5.0,7.6,35.2,2-2,美浦高木,468(+2),2021年6月12日,芝,1200,小雨,良,2018102791,01157
202101010101,5,3,5,ペイシャケイティー,牝3,54.0,古川吉,1:09.0,ハナ,4.0,7.5,34.5,7-7,美浦土田,456(+8),2021年6月12日,芝,1200,小雨,良,2018101539,01015
202101010101,6,1,2,セリシア,牝3,54.0,武豊,1:09.0,クビ,1.0,3.7,34.9,4-4,栗東中竹,456(+4),2021年6月12日,芝,1200,小雨,良,2018100570,00666
202101010101,7,4,7,デクラーク,牡3,56.0,横山武,1:09.2,1,3.0,6.1,33.9,15-15,美浦矢野,444(+2),2021年6月12日,芝,1200,小雨,良,2018102192,01170
202101010101,8,6,11,プレジャジンク,牝3,54.0,吉田隼,1:09.2,アタマ,8.0,25.0,35.3,3-2,栗東吉田,452(+12),2021年6月12日,芝,1200,小雨,良,2018102626,01095
202101010101,9,7,13,メルティング,牝3,54.0,団野,1:09.6,2.1/2,9.0,56.6,34.5,12-12,栗東池添兼,416(0),2021年6月12日,芝,1200,小雨,良,2018103582,01180
202101010101,10,2,3,リトルロータス,牝3,52.0,△山田,1:09.6,アタマ,16.0,275.3,34.5,12-12,美浦松永康,388(-20),2021年6月12日,芝,1200,小雨,良,2018101518,01173
202101010101,11,4,8,ニースバローズ,牝3,51.0,▲横山琉,1:09.7,クビ,15.0,142.9,34.9,10-10,美浦斎藤誠,402(+6),2021年6月12日,芝,1200,小雨,良,2018106100,01192
