日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
2018105875,2022/01/16,1小倉2,曇,10,小郡特別(2勝クラス),,12,7,10,3.5,2,10,秋山稔樹,54,芝1200,良,**,1:09.8,1.6,**,5-6,32.8-35.4,36.5,474(+2),,,メメントモリ,,,,,,,,,,,,,
2018105875,2021/12/26,6阪神8,曇,12,猪名川特別(2勝クラス),,15,2,2,8.2,4,6,亀田温心,54,芝1400,良,**,1:21.9,0.2,**,2-3,35.3-34.8,34.8,472(-6),,,エルカスティージョ,,,,,,,,,,,,,
2018105875,2021/10/30,4阪神7,晴,8,3歳以上2勝クラス,,11,2,2,5.8,4,9,池添謙一,53,芝1400,良,**,1:22.5,0.7,**,3-4,35.1-34.9,35.3,478(+2),,,セウラサーリ,,,,,,,,,,,,,
2018105875,2021/10/09,4東京1,曇,12,3歳以上2勝クラス,,13,5,7,13.8,7,4,三浦皇成,53,芝1400,良,**,1:22.3,0.4,**,5-8,36.3-34.1,33.9,476(+2),,,レガトゥス,170.0,,,,,,,,,,,,
2018105875,2021/07/04,1函館2,曇,9,3歳以上1勝クラス,,16,3,5,7.3,3,1,秋山稔樹,50,芝1200,良,**,1:08.4,-0.4,**,5-4,33.2-35.2,34.7,474(0),,,(メイショウハボタン),760.0,,,,,,,,,,,,
2018105875,2021/06/12,1札幌1,小雨,1,3歳未勝利,,16,5,9,13.5,7,1,秋山稔樹,52,芝1200,良,**,1:08.7,-0.1,**,4-4,33.8-34.9,34.6,474(-22),,,(バンベルク),510.0,,,,,,,,,,,,
2018105875,2021/04/10,1新潟1,晴,5,3歳未勝利,,16,8,16,13.7,6,6,亀田温心,53,芝1200,良,**,1:10.4,0.6,**,3-3,34.9-34.9,35.2,496(0),,,プラチナムレイアー,,,,,,,,,,,,,
2018105258,2022/01/09,1中京3,晴,8,4歳以上1勝クラス,,13,7,10,53.3,10,7,角田大和,53,芝2000,良,**,2:01.8,0.8,**,6-6-6-6,36.6-34.4,34.6,464(+3),,,スタッドリー,,,,,,,,,,,,,
2018105258,2021/11/30,園田,曇,12,C1,,12,1,1,1.6,1,1,吉村智洋,56,ダ1400,良,**,1:33.3,0.0,**,7-6-6-4,0.0-39.7,39.2,461(+7),,,(スマイルヴィヴァン),90.0,,,,,,,,,,,,
2018105258,2021/10/27,園田,晴,9,C1二,,12,6,8,2.1,2,2,吉村智洋,56,ダ1400,稍,**,1:33.2,0.7,**,2-2-1-1,0.0-39.9,40.6,454(-7),,,メイショウシマト,36.0,,,,,,,,,,,,
2018105258,2021/10/07,園田,晴,5,C2二,,10,8,10,1.2,1,1,吉村智洋,56,ダ1400,良,**,1:31.8,0.0,**,2-2-1-1,0.0-38.7,38.6,461(-5),,,(ゼンダンリュウ),60.0,,,,,,,,,,,,
2018105258,2021/08/29,2札幌6,晴,2,3歳未勝利,,12,1,1,3.2,1,3,横山和生,56,ダ1000,良,**,0:59.9,0.2,**,8-6,35.4-35.9,35.5,466(+2),,,スペシャリティ,130.0,,,,,,,,,,,,
2018105258,2021/07/11,1函館4,曇,2,3歳未勝利,,16,6,11,1.7,1,7,横山和生,56,芝1200,稍,**,1:10.9,0.8,**,2-2,34.1-36.0,36.7,464(-6),,,ジュノエスク,,,,,,,,,,,,,
2018105258,2021/06/12,1札幌1,小雨,1,3歳未勝利,,16,3,6,3.9,2,2,横山和生,56,芝1200,良,**,1:08.8,0.1,**,1-1,33.8-34.9,35.0,470(-2),,,ディーバサンライズ,200.0,,,,,,,,,,,,
2018105258,2021/04/11,2阪神6,晴,2,3歳未勝利,,15,8,15,3.8,2,2,横山和生,56,ダ1400,良,**,1:25.6,0.4,**,2-2,35.6-37.5,37.8,472(0),,,サトノテンペスト,200.0,,,,,,,,,,,,
2018105258,2021/02/14,1阪神2,晴,5,3歳未勝利,,16,5,9,3.2,1,4,北村友一,56,芝1600,良,**,1:34.4,0.3,**,1-1,35.6-34.2,34.5,472(0),,,サイモンメガライズ,77.0,,,,,,,,,,,,
2018105258,2021/01/16,1中京5,晴,5,3歳未勝利,,16,6,12,2.6,1,3,北村友一,56,芝1600,良,**,1:34.3,0.2,**,5-4-4,34.3-36.5,36.1,472(+6),,,レイモンドバローズ,130.0,,,,,,,,,,,,
2018105258,2020/11/23,5阪神7,晴,6,2歳未勝利,,14,8,13,3.5,2,2,北村友一,55,芝1600,良,**,1:35.4,0.2,**,3-3,35.7-34.3,34.1,466(-4),,,テーオーダヴィンチ,200.0,,,,,,,,,,,,
